anchor,distance_m,field,sample_index,received_at,rssi_dbm
anchor_04,1.000,raw,1,1781410182.403,-65.000
anchor_04,1.000,raw,2,1781410182.473,-71.000
anchor_04,1.000,raw,3,1781410184.517,-67.000
anchor_04,1.000,raw,4,1781410184.658,-67.000
anchor_04,1.000,raw,5,1781410185.553,-66.000
anchor_04,1.000,raw,6,1781410185.616,-65.000
anchor_04,1.000,raw,7,1781410185.616,-66.000
anchor_04,1.000,raw,8,1781410186.669,-66.000
anchor_04,1.000,raw,9,1781410186.767,-67.000
anchor_04,1.000,raw,10,1781410188.741,-67.000
anchor_04,1.000,raw,11,1781410189.842,-69.000
anchor_04,1.000,raw,12,1781410190.257,-66.000
anchor_04,1.000,raw,13,1781410190.866,-63.000
anchor_04,1.000,raw,14,1781410190.972,-68.000
anchor_04,1.000,raw,15,1781410191.922,-63.000
anchor_04,1.000,raw,16,1781410193.016,-69.000
anchor_04,1.000,raw,17,1781410194.038,-69.000
anchor_04,1.000,raw,18,1781410195.069,-64.000
anchor_04,1.000,raw,19,1781410195.133,-68.000
anchor_04,1.000,raw,20,1781410196.171,-68.000
anchor_04,1.000,raw,21,1781410196.617,-66.000
anchor_04,1.000,raw,22,1781410197.273,-63.000
anchor_04,1.000,raw,23,1781410197.456,-66.000
anchor_04,1.000,raw,24,1781410197.456,-63.000
anchor_04,1.000,raw,25,1781410197.456,-63.000
anchor_04,1.000,raw,26,1781410198.447,-68.000
anchor_04,1.000,raw,27,1781410199.372,-64.000
anchor_04,1.000,raw,28,1781410199.789,-64.000
anchor_04,1.000,raw,29,1781410200.437,-63.000
anchor_04,1.000,raw,30,1781410201.625,-66.000
anchor_04,1.000,raw,31,1781410201.736,-63.000
anchor_04,2.000,raw,1,1781410213.191,-66.000
anchor_04,2.000,raw,2,1781410213.306,-67.000
anchor_04,2.000,raw,3,1781410214.250,-66.000
anchor_04,2.000,raw,4,1781410214.428,-65.000
anchor_04,2.000,raw,5,1781410214.428,-73.000
anchor_04,2.000,raw,6,1781410215.343,-66.000
anchor_04,2.000,raw,7,1781410215.389,-66.000
anchor_04,2.000,raw,8,1781410216.434,-65.000
anchor_04,2.000,raw,9,1781410217.594,-66.000
anchor_04,2.000,raw,10,1781410218.517,-65.000
anchor_04,2.000,raw,11,1781410218.564,-64.000
anchor_04,2.000,raw,12,1781410218.565,-64.000
anchor_04,2.000,raw,13,1781410218.759,-70.000
anchor_04,2.000,raw,14,1781410219.638,-70.000
anchor_04,2.000,raw,15,1781410219.849,-64.000
anchor_04,2.000,raw,16,1781410219.849,-64.000
anchor_04,2.000,raw,17,1781410219.849,-68.000
anchor_04,2.000,raw,18,1781410219.849,-67.000
anchor_04,2.000,raw,19,1781410220.765,-67.000
anchor_04,2.000,raw,20,1781410220.903,-77.000
anchor_04,2.000,raw,21,1781410221.835,-74.000
anchor_04,2.000,raw,22,1781410221.892,-70.000
anchor_04,2.000,raw,23,1781410221.892,-75.000
anchor_04,2.000,raw,24,1781410222.946,-71.000
anchor_04,2.000,raw,25,1781410223.962,-66.000
anchor_04,2.000,raw,26,1781410224.264,-65.000
anchor_04,2.000,raw,27,1781410224.264,-73.000
anchor_04,2.000,raw,28,1781410225.074,-66.000
anchor_04,2.000,raw,29,1781410225.175,-67.000
anchor_04,2.000,raw,30,1781410226.122,-74.000
anchor_04,2.000,raw,31,1781410226.176,-72.000
anchor_04,2.000,raw,32,1781410226.176,-72.000
