point_x,point_y,field,received_at,anchor,rssi_dbm
1.000,1.000,raw,1781431447.775,anchor_03,-71.000
1.000,1.000,raw,1781431448.080,anchor_02,-61.000
1.000,1.000,raw,1781431448.162,anchor_02,-71.000
1.000,1.000,raw,1781431448.162,anchor_02,-63.000
1.000,1.000,raw,1781431448.504,anchor_01,-65.000
1.000,1.000,raw,1781431448.852,anchor_03,-71.000
1.000,1.000,raw,1781431449.019,anchor_04,-80.000
1.000,1.000,raw,1781431449.072,anchor_01,-65.000
1.000,1.000,raw,1781431449.072,anchor_01,-65.000
1.000,1.000,raw,1781431449.072,anchor_01,-63.000
1.000,1.000,raw,1781431449.072,anchor_03,-86.000
1.000,1.000,raw,1781431449.072,anchor_03,-85.000
1.000,1.000,raw,1781431449.078,anchor_04,-80.000
1.000,1.000,raw,1781431449.181,anchor_02,-60.000
1.000,1.000,raw,1781431449.291,anchor_02,-61.000
1.000,1.000,raw,1781431449.634,anchor_01,-63.000
1.000,1.000,raw,1781431449.783,anchor_01,-65.000
1.000,1.000,raw,1781431449.783,anchor_01,-65.000
1.000,1.000,raw,1781431449.924,anchor_03,-69.000
1.000,1.000,raw,1781431450.297,anchor_02,-61.000
1.000,1.000,raw,1781431450.402,anchor_02,-80.000
1.000,1.000,raw,1781431450.402,anchor_02,-61.000
1.000,1.000,raw,1781431450.711,anchor_01,-62.000
1.000,1.000,raw,1781431450.760,anchor_01,-62.000
1.000,1.000,raw,1781431450.760,anchor_01,-65.000
1.000,1.000,raw,1781431451.104,anchor_04,-87.000
1.000,1.000,raw,1781431451.122,anchor_03,-70.000
1.000,1.000,raw,1781431451.234,anchor_03,-72.000
1.000,1.000,raw,1781431451.331,anchor_02,-61.000
1.000,1.000,raw,1781431451.427,anchor_02,-63.000
1.000,1.000,raw,1781431451.825,anchor_01,-65.000
1.000,1.000,raw,1781431452.032,anchor_01,-63.000
1.000,1.000,raw,1781431452.032,anchor_01,-62.000
1.000,1.000,raw,1781431452.032,anchor_01,-62.000
1.000,1.000,raw,1781431452.032,anchor_01,-65.000
1.000,1.000,raw,1781431452.032,anchor_03,-73.000
1.000,1.000,raw,1781431452.192,anchor_04,-78.000
1.000,1.000,raw,1781431452.243,anchor_04,-78.000
1.000,1.000,raw,1781431452.243,anchor_04,-78.000
1.000,1.000,raw,1781431452.435,anchor_02,-59.000
1.000,1.000,raw,1781431452.452,anchor_03,-71.000
1.000,1.000,raw,1781431452.452,anchor_03,-70.000
1.000,1.000,raw,1781431452.554,anchor_02,-62.000
1.000,1.000,raw,1781431452.554,anchor_02,-63.000
1.000,1.000,raw,1781431452.947,anchor_01,-63.000
1.000,1.000,raw,1781431453.161,anchor_03,-72.000
1.000,1.000,raw,1781431453.275,anchor_04,-76.000
1.000,1.000,raw,1781431453.279,anchor_03,-70.000
1.000,1.000,raw,1781431453.279,anchor_03,-70.000
1.000,1.000,raw,1781431453.363,anchor_04,-76.000
1.000,1.000,raw,1781431453.470,anchor_01,-62.000
1.000,1.000,raw,1781431453.471,anchor_01,-63.000
1.000,1.000,raw,1781431453.493,anchor_02,-60.000
1.000,1.000,raw,1781431454.054,anchor_01,-61.000
1.000,1.000,raw,1781431454.284,anchor_04,-76.000
1.000,1.000,raw,1781431454.494,anchor_01,-65.000
1.000,1.000,raw,1781431454.573,anchor_02,-61.000
1.000,1.000,raw,1781431455.172,anchor_01,-63.000
1.000,1.000,raw,1781431455.227,anchor_01,-63.000
1.000,1.000,raw,1781431455.227,anchor_01,-62.000
1.000,1.000,raw,1781431455.332,anchor_04,-77.000
1.000,1.000,raw,1781431455.423,anchor_03,-87.000
1.000,1.000,raw,1781431455.610,anchor_02,-61.000
1.000,1.000,raw,1781431456.253,anchor_01,-62.000
1.000,1.000,raw,1781431456.332,anchor_01,-65.000
1.000,1.000,raw,1781431456.332,anchor_01,-63.000
1.000,1.000,raw,1781431456.434,anchor_03,-71.000
1.000,1.000,raw,1781431457.279,anchor_01,-65.000
1.000,1.000,raw,1781431457.381,anchor_03,-85.000
1.000,1.000,raw,1781431457.412,anchor_04,-79.000
1.000,1.000,raw,1781431457.447,anchor_03,-70.000
1.000,1.000,raw,1781431457.465,anchor_01,-60.000
1.000,1.000,raw,1781431457.465,anchor_01,-62.000
1.000,1.000,raw,1781431457.559,anchor_04,-79.000
1.000,1.000,raw,1781431457.738,anchor_02,-61.000
1.000,1.000,raw,1781431457.786,anchor_02,-64.000
1.000,1.000,raw,1781431457.786,anchor_02,-63.000
1.000,1.000,raw,1781431457.786,anchor_02,-61.000
1.000,1.000,raw,1781431457.786,anchor_02,-61.000
1.000,1.000,raw,1781431458.375,anchor_01,-62.000
1.000,1.000,raw,1781431458.480,anchor_04,-81.000
1.000,1.000,raw,1781431458.480,anchor_03,-79.000
1.000,1.000,raw,1781431458.487,anchor_01,-65.000
1.000,1.000,raw,1781431458.487,anchor_01,-62.000
1.000,1.000,raw,1781431458.594,anchor_03,-72.000
1.000,1.000,raw,1781431458.862,anchor_02,-61.000
1.000,1.000,raw,1781431459.112,anchor_02,-68.000
1.000,1.000,raw,1781431459.112,anchor_02,-71.000
1.000,1.000,raw,1781431459.112,anchor_02,-61.000
1.000,1.000,raw,1781431459.502,anchor_01,-63.000
1.000,1.000,raw,1781431459.522,anchor_03,-72.000
1.000,1.000,raw,1781431459.637,anchor_01,-62.000
1.000,1.000,raw,1781431459.978,anchor_02,-62.000
1.000,1.000,raw,1781431460.227,anchor_02,-63.000
1.000,1.000,raw,1781431460.534,anchor_01,-63.000
1.000,1.000,raw,1781431460.574,anchor_03,-70.000
1.000,1.000,raw,1781431460.574,anchor_04,-82.000
1.000,1.000,raw,1781431460.624,anchor_04,-82.000
1.000,1.000,raw,1781431460.986,anchor_02,-63.000
1.000,1.000,raw,1781431461.361,anchor_02,-63.000
1.000,1.000,raw,1781431461.648,anchor_01,-65.000
1.000,1.000,raw,1781431461.652,anchor_04,-81.000
1.000,1.000,raw,1781431461.656,anchor_03,-70.000
1.000,1.000,raw,1781431461.763,anchor_03,-73.000
1.000,1.000,raw,1781431461.866,anchor_01,-62.000
1.000,1.000,raw,1781431461.866,anchor_01,-63.000
1.000,1.000,raw,1781431462.213,anchor_02,-63.000
1.000,1.000,raw,1781431462.274,anchor_02,-63.000
1.000,1.000,raw,1781431462.678,anchor_01,-63.000
1.000,1.000,raw,1781431462.689,anchor_04,-84.000
1.000,1.000,raw,1781431462.689,anchor_03,-81.000
1.000,1.000,raw,1781431462.765,anchor_04,-83.000
1.000,1.000,raw,1781431462.765,anchor_04,-80.000
1.000,1.000,raw,1781431462.766,anchor_03,-79.000
1.000,1.000,raw,1781431462.766,anchor_03,-79.000
1.000,1.000,raw,1781431462.766,anchor_03,-72.000
1.000,1.000,raw,1781431462.786,anchor_01,-63.000
1.000,1.000,raw,1781431462.786,anchor_01,-63.000
1.000,1.000,raw,1781431462.786,anchor_01,-66.000
1.000,1.000,raw,1781431462.787,anchor_01,-63.000
1.000,1.000,raw,1781431463.135,anchor_02,-63.000
1.000,1.000,raw,1781431463.318,anchor_02,-64.000
1.000,1.000,raw,1781431463.802,anchor_03,-82.000
1.000,1.000,raw,1781431463.802,anchor_04,-76.000
1.000,1.000,raw,1781431463.811,anchor_01,-65.000
1.000,1.000,raw,1781431463.923,anchor_04,-75.000
1.000,1.000,raw,1781431464.125,anchor_01,-63.000
1.000,1.000,raw,1781431464.319,anchor_02,-70.000
1.000,1.000,raw,1781431464.443,anchor_02,-63.000
1.000,1.000,raw,1781431464.443,anchor_02,-61.000
1.000,1.000,raw,1781431464.850,anchor_04,-76.000
1.000,1.000,raw,1781431464.852,anchor_03,-72.000
1.000,1.000,raw,1781431464.888,anchor_01,-63.000
1.000,1.000,raw,1781431464.902,anchor_04,-76.000
1.000,1.000,raw,1781431464.902,anchor_03,-71.000
1.000,1.000,raw,1781431465.047,anchor_01,-62.000
1.000,1.000,raw,1781431465.289,anchor_02,-63.000
1.000,1.000,raw,1781431465.369,anchor_02,-70.000
1.000,1.000,raw,1781431465.369,anchor_02,-63.000
1.000,1.000,raw,1781431465.370,anchor_02,-61.000
1.000,1.000,raw,1781431465.953,anchor_01,-62.000
1.000,1.000,raw,1781431466.165,anchor_01,-62.000
1.000,1.000,raw,1781431466.411,anchor_02,-63.000
1.000,1.000,raw,1781431467.039,anchor_01,-64.000
1.000,1.000,raw,1781431467.083,anchor_04,-86.000
1.000,1.000,raw,1781431467.088,anchor_03,-74.000
1.000,1.000,raw,1781431467.302,anchor_01,-63.000
1.000,1.000,raw,1781431467.488,anchor_02,-62.000
1.000,1.000,raw,1781431467.623,anchor_02,-71.000
1.000,1.000,raw,1781431468.026,anchor_04,-78.000
1.000,1.000,raw,1781431468.033,anchor_03,-75.000
1.000,1.000,raw,1781431468.165,anchor_01,-63.000
1.000,1.000,raw,1781431468.219,anchor_04,-77.000
1.000,1.000,raw,1781431468.221,anchor_01,-63.000
1.000,1.000,raw,1781431468.221,anchor_01,-65.000
1.000,1.000,raw,1781431468.523,anchor_02,-62.000
1.000,1.000,raw,1781431468.578,anchor_02,-61.000
1.000,1.000,raw,1781431468.578,anchor_02,-63.000
1.000,1.000,raw,1781431469.088,anchor_04,-87.000
1.000,1.000,raw,1781431469.188,anchor_01,-63.000
1.000,1.000,raw,1781431469.354,anchor_01,-62.000
1.000,1.000,raw,1781431469.640,anchor_02,-63.000
1.000,1.000,raw,1781431470.088,anchor_03,-72.000
1.000,1.000,raw,1781431470.257,anchor_01,-62.000
1.000,1.000,raw,1781431470.262,anchor_04,-78.000
1.000,1.000,raw,1781431470.267,anchor_03,-72.000
1.000,1.000,raw,1781431470.475,anchor_01,-62.000
1.000,1.000,raw,1781431470.475,anchor_01,-63.000
1.000,1.000,raw,1781431470.475,anchor_01,-62.000
