point_x,point_y,field,received_at,anchor,rssi_dbm
0.800,1.600,raw,1781434620.147,anchor_03,-69.000
0.800,1.600,raw,1781434620.166,anchor_04,-75.000
0.800,1.600,raw,1781434620.259,anchor_02,-55.000
0.800,1.600,raw,1781434620.270,anchor_04,-73.000
0.800,1.600,raw,1781434620.270,anchor_04,-75.000
0.800,1.600,raw,1781434620.270,anchor_04,-85.000
0.800,1.600,raw,1781434620.822,anchor_01,-73.000
0.800,1.600,raw,1781434620.996,anchor_03,-68.000
0.800,1.600,raw,1781434621.059,anchor_03,-71.000
0.800,1.600,raw,1781434621.271,anchor_02,-54.000
0.800,1.600,raw,1781434621.276,anchor_04,-73.000
0.800,1.600,raw,1781434621.470,anchor_02,-55.000
0.800,1.600,raw,1781434621.470,anchor_02,-56.000
0.800,1.600,raw,1781434621.470,anchor_02,-60.000
0.800,1.600,raw,1781434621.569,anchor_01,-74.000
0.800,1.600,raw,1781434621.569,anchor_01,-71.000
0.800,1.600,raw,1781434622.010,anchor_03,-69.000
0.800,1.600,raw,1781434622.323,anchor_04,-72.000
0.800,1.600,raw,1781434622.386,anchor_02,-60.000
0.800,1.600,raw,1781434622.695,anchor_02,-54.000
0.800,1.600,raw,1781434622.898,anchor_01,-74.000
0.800,1.600,raw,1781434623.095,anchor_03,-71.000
0.800,1.600,raw,1781434623.103,anchor_01,-72.000
0.800,1.600,raw,1781434623.301,anchor_03,-70.000
0.800,1.600,raw,1781434623.460,anchor_02,-60.000
0.800,1.600,raw,1781434623.516,anchor_02,-54.000
0.800,1.600,raw,1781434623.516,anchor_02,-55.000
0.800,1.600,raw,1781434623.516,anchor_02,-54.000
0.800,1.600,raw,1781434623.618,anchor_04,-72.000
0.800,1.600,raw,1781434623.972,anchor_01,-72.000
0.800,1.600,raw,1781434624.027,anchor_01,-73.000
0.800,1.600,raw,1781434624.028,anchor_01,-69.000
0.800,1.600,raw,1781434624.166,anchor_03,-70.000
0.800,1.600,raw,1781434624.423,anchor_04,-76.000
0.800,1.600,raw,1781434624.572,anchor_02,-61.000
0.800,1.600,raw,1781434624.641,anchor_02,-54.000
0.800,1.600,raw,1781434624.641,anchor_02,-54.000
0.800,1.600,raw,1781434625.092,anchor_01,-71.000
0.800,1.600,raw,1781434625.185,anchor_03,-70.000
0.800,1.600,raw,1781434625.356,anchor_01,-74.000
0.800,1.600,raw,1781434625.358,anchor_03,-68.000
0.800,1.600,raw,1781434625.359,anchor_03,-70.000
0.800,1.600,raw,1781434625.469,anchor_04,-77.000
0.800,1.600,raw,1781434625.676,anchor_02,-60.000
0.800,1.600,raw,1781434625.870,anchor_02,-54.000
0.800,1.600,raw,1781434626.106,anchor_01,-74.000
0.800,1.600,raw,1781434626.270,anchor_03,-68.000
0.800,1.600,raw,1781434626.416,anchor_03,-71.000
0.800,1.600,raw,1781434626.416,anchor_03,-70.000
0.800,1.600,raw,1781434626.579,anchor_04,-88.000
0.800,1.600,raw,1781434626.764,anchor_02,-100.000
0.800,1.600,raw,1781434627.000,anchor_02,-54.000
0.800,1.600,raw,1781434627.197,anchor_01,-72.000
0.800,1.600,raw,1781434627.336,anchor_01,-69.000
0.800,1.600,raw,1781434627.336,anchor_01,-69.000
0.800,1.600,raw,1781434627.336,anchor_01,-70.000
0.800,1.600,raw,1781434627.398,anchor_03,-70.000
0.800,1.600,raw,1781434628.265,anchor_01,-69.000
0.800,1.600,raw,1781434628.463,anchor_03,-71.000
0.800,1.600,raw,1781434628.518,anchor_03,-70.000
0.800,1.600,raw,1781434628.518,anchor_03,-68.000
0.800,1.600,raw,1781434628.518,anchor_03,-71.000
0.800,1.600,raw,1781434628.633,anchor_04,-88.000
0.800,1.600,raw,1781434628.830,anchor_02,-54.000
0.800,1.600,raw,1781434628.878,anchor_02,-60.000
0.800,1.600,raw,1781434628.878,anchor_02,-60.000
0.800,1.600,raw,1781434629.052,anchor_02,-54.000
0.800,1.600,raw,1781434629.372,anchor_01,-72.000
0.800,1.600,raw,1781434629.453,anchor_01,-69.000
0.800,1.600,raw,1781434629.453,anchor_01,-74.000
0.800,1.600,raw,1781434629.553,anchor_03,-68.000
0.800,1.600,raw,1781434629.649,anchor_04,-76.000
0.800,1.600,raw,1781434629.660,anchor_03,-70.000
0.800,1.600,raw,1781434629.963,anchor_02,-60.000
0.800,1.600,raw,1781434630.588,anchor_03,-68.000
0.800,1.600,raw,1781434631.090,anchor_02,-55.000
0.800,1.600,raw,1781434631.431,anchor_01,-69.000
0.800,1.600,raw,1781434631.493,anchor_01,-71.000
0.800,1.600,raw,1781434631.636,anchor_03,-71.000
0.800,1.600,raw,1781434631.716,anchor_03,-68.000
0.800,1.600,raw,1781434631.716,anchor_03,-69.000
0.800,1.600,raw,1781434631.810,anchor_04,-73.000
0.800,1.600,raw,1781434632.012,anchor_04,-73.000
0.800,1.600,raw,1781434632.034,anchor_02,-54.000
0.800,1.600,raw,1781434632.529,anchor_01,-69.000
0.800,1.600,raw,1781434632.745,anchor_03,-70.000
0.800,1.600,raw,1781434632.751,anchor_01,-71.000
0.800,1.600,raw,1781434632.824,anchor_04,-72.000
0.800,1.600,raw,1781434632.939,anchor_04,-77.000
0.800,1.600,raw,1781434632.939,anchor_04,-73.000
0.800,1.600,raw,1781434633.090,anchor_02,-54.000
0.800,1.600,raw,1781434633.351,anchor_02,-54.000
0.800,1.600,raw,1781434633.351,anchor_02,-54.000
0.800,1.600,raw,1781434633.835,anchor_03,-68.000
0.800,1.600,raw,1781434633.889,anchor_04,-77.000
0.800,1.600,raw,1781434634.063,anchor_03,-68.000
0.800,1.600,raw,1781434634.063,anchor_03,-68.000
0.800,1.600,raw,1781434634.071,anchor_04,-73.000
0.800,1.600,raw,1781434634.204,anchor_02,-55.000
0.800,1.600,raw,1781434634.278,anchor_02,-60.000
0.800,1.600,raw,1781434634.679,anchor_01,-73.000
0.800,1.600,raw,1781434634.872,anchor_03,-71.000
0.800,1.600,raw,1781434634.969,anchor_04,-90.000
0.800,1.600,raw,1781434635.188,anchor_03,-68.000
0.800,1.600,raw,1781434635.190,anchor_04,-77.000
0.800,1.600,raw,1781434635.427,anchor_02,-54.000
0.800,1.600,raw,1781434635.602,anchor_02,-60.000
0.800,1.600,raw,1781434635.691,anchor_01,-74.000
0.800,1.600,raw,1781434635.904,anchor_01,-77.000
0.800,1.600,raw,1781434636.315,anchor_02,-60.000
0.800,1.600,raw,1781434636.517,anchor_02,-54.000
0.800,1.600,raw,1781434636.722,anchor_01,-73.000
0.800,1.600,raw,1781434636.823,anchor_01,-69.000
0.800,1.600,raw,1781434637.001,anchor_03,-71.000
0.800,1.600,raw,1781434637.235,anchor_03,-68.000
0.800,1.600,raw,1781434637.235,anchor_03,-70.000
0.800,1.600,raw,1781434637.387,anchor_02,-60.000
0.800,1.600,raw,1781434638.110,anchor_04,-76.000
0.800,1.600,raw,1781434638.110,anchor_03,-71.000
0.800,1.600,raw,1781434638.157,anchor_03,-68.000
0.800,1.600,raw,1781434638.158,anchor_03,-68.000
0.800,1.600,raw,1781434638.158,anchor_03,-70.000
0.800,1.600,raw,1781434638.499,anchor_02,-54.000
0.800,1.600,raw,1781434638.563,anchor_02,-54.000
0.800,1.600,raw,1781434638.563,anchor_02,-54.000
0.800,1.600,raw,1781434638.855,anchor_01,-75.000
0.800,1.600,raw,1781434639.120,anchor_04,-76.000
0.800,1.600,raw,1781434639.281,anchor_03,-71.000
0.800,1.600,raw,1781434639.287,anchor_04,-76.000
0.800,1.600,raw,1781434639.486,anchor_03,-71.000
0.800,1.600,raw,1781434639.524,anchor_02,-60.000
0.800,1.600,raw,1781434639.696,anchor_02,-54.000
0.800,1.600,raw,1781434639.890,anchor_01,-68.000
0.800,1.600,raw,1781434640.002,anchor_01,-69.000
0.800,1.600,raw,1781434640.002,anchor_01,-75.000
0.800,1.600,raw,1781434640.197,anchor_04,-73.000
0.800,1.600,raw,1781434640.239,anchor_03,-70.000
0.800,1.600,raw,1781434640.411,anchor_03,-68.000
0.800,1.600,raw,1781434640.411,anchor_03,-68.000
0.800,1.600,raw,1781434640.606,anchor_02,-97.000
0.800,1.600,raw,1781434640.720,anchor_02,-60.000
0.800,1.600,raw,1781434640.720,anchor_02,-54.000
0.800,1.600,raw,1781434640.721,anchor_02,-54.000
0.800,1.600,raw,1781434641.272,anchor_04,-94.000
0.800,1.600,raw,1781434641.733,anchor_02,-60.000
0.800,1.600,raw,1781434642.019,anchor_01,-70.000
0.800,1.600,raw,1781434642.080,anchor_01,-74.000
0.800,1.600,raw,1781434642.080,anchor_01,-74.000
0.800,1.600,raw,1781434642.081,anchor_01,-73.000
0.800,1.600,raw,1781434642.286,anchor_04,-76.000
0.800,1.600,raw,1781434642.762,anchor_02,-56.000
0.800,1.600,raw,1781434642.822,anchor_02,-54.000
0.800,1.600,raw,1781434643.130,anchor_01,-69.000
0.800,1.600,raw,1781434643.372,anchor_04,-72.000
0.800,1.600,raw,1781434643.383,anchor_03,-69.000
0.800,1.600,raw,1781434643.596,anchor_03,-68.000
0.800,1.600,raw,1781434643.991,anchor_02,-53.000
0.800,1.600,raw,1781434644.301,anchor_01,-74.000
0.800,1.600,raw,1781434644.498,anchor_03,-68.000
0.800,1.600,raw,1781434644.499,anchor_04,-77.000
0.800,1.600,raw,1781434644.908,anchor_02,-55.000
0.800,1.600,raw,1781434645.627,anchor_03,-70.000
0.800,1.600,raw,1781434645.933,anchor_02,-54.000
0.800,1.600,raw,1781434646.145,anchor_02,-55.000
0.800,1.600,raw,1781434646.145,anchor_02,-55.000
0.800,1.600,raw,1781434646.362,anchor_01,-68.000
0.800,1.600,raw,1781434646.485,anchor_04,-73.000
0.800,1.600,raw,1781434646.543,anchor_01,-74.000
0.800,1.600,raw,1781434646.550,anchor_03,-70.000
0.800,1.600,raw,1781434646.668,anchor_04,-76.000
0.800,1.600,raw,1781434646.669,anchor_04,-74.000
0.800,1.600,raw,1781434646.862,anchor_03,-67.000
0.800,1.600,raw,1781434646.863,anchor_03,-70.000
0.800,1.600,raw,1781434647.058,anchor_02,-54.000
0.800,1.600,raw,1781434647.231,anchor_02,-60.000
0.800,1.600,raw,1781434647.305,anchor_01,-69.000
0.800,1.600,raw,1781434647.477,anchor_01,-69.000
0.800,1.600,raw,1781434647.610,anchor_04,-76.000
0.800,1.600,raw,1781434647.674,anchor_03,-68.000
0.800,1.600,raw,1781434647.682,anchor_04,-72.000
0.800,1.600,raw,1781434647.682,anchor_04,-76.000
0.800,1.600,raw,1781434647.795,anchor_03,-68.000
0.800,1.600,raw,1781434647.795,anchor_03,-68.000
0.800,1.600,raw,1781434648.089,anchor_02,-54.000
0.800,1.600,raw,1781434648.190,anchor_02,-55.000
0.800,1.600,raw,1781434648.395,anchor_01,-70.000
0.800,1.600,raw,1781434648.603,anchor_01,-69.000
0.800,1.600,raw,1781434648.603,anchor_01,-73.000
0.800,1.600,raw,1781434648.604,anchor_01,-69.000
0.800,1.600,raw,1781434648.604,anchor_01,-69.000
0.800,1.600,raw,1781434648.643,anchor_04,-73.000
0.800,1.600,raw,1781434648.738,anchor_03,-71.000
0.800,1.600,raw,1781434648.787,anchor_03,-70.000
0.800,1.600,raw,1781434648.787,anchor_03,-69.000
0.800,1.600,raw,1781434649.720,anchor_04,-89.000
0.800,1.600,raw,1781434649.826,anchor_03,-71.000
0.800,1.600,raw,1781434649.885,anchor_03,-68.000
0.800,1.600,raw,1781434650.198,anchor_02,-54.000
0.800,1.600,raw,1781434650.448,anchor_02,-62.000
0.800,1.600,raw,1781434650.571,anchor_01,-75.000
